machine_code,cycle_start_time,channel_code,min_stress,max_stress,life,damage
RTIO_MJ_15H225,1/05/2025 0:20:00,SG06,-2.197333,40.650667,8.401296,9.33E-07
RTIO_MJ_15H225,1/05/2025 0:20:00,SG07,5.218667,30.488,3.883206,4.31E-07
RTIO_MJ_15H225,1/05/2025 0:20:00,SG08,-2.197333,30.625333,3.325426,3.69E-07
RTIO_MJ_15H225,1/05/2025 0:20:00,SG09,9.888,42.436,7.54182,8.38E-07
RTIO_MJ_15H225,1/05/2025 0:20:00,SG10,2.334667,53.285333,9.921003,1.10E-06
RTIO_MJ_15H225,1/05/2025 0:20:00,SG11,9.750667,48.204,10.275702,3.43E-06
RTIO_MJ_15H225,1/05/2025 0:20:00,SG12,17.304,51.774667,15.810388,5.27E-06
RTIO_MJ_15H225,1/05/2025 0:25:00,SG01,41.612,48.066667,30.157776,1.01E-05
RTIO_MJ_15H225,1/05/2025 0:25:00,SG02,19.638667,47.517333,15.363565,5.12E-06
RTIO_MJ_15H225,1/05/2025 0:25:00,SG03,4.806667,47.929333,13.635909,1.52E-06
RTIO_MJ_15H225,1/05/2025 0:25:00,SG04,-7.828,64.134667,9.12702,1.01E-06
RTIO_MJ_15H225,1/05/2025 0:25:00,SG05,-6.317333,44.496,6.702958,7.45E-07
RTIO_MJ_15H225,1/05/2025 0:25:00,SG06,-0.686667,41.062667,5.702346,6.34E-07
RTIO_MJ_15H225,1/05/2025 0:25:00,SG07,0,34.882667,4.086992,4.54E-07
RTIO_MJ_15H225,1/05/2025 0:25:00,SG08,-1.785333,29.526667,2.281096,2.53E-07
RTIO_MJ_15H225,1/05/2025 0:25:00,SG09,5.356,43.534667,7.224508,8.03E-07
RTIO_MJ_15H225,1/05/2025 0:25:00,SG10,11.398667,56.718667,14.564623,1.62E-06
RTIO_MJ_15H225,1/05/2025 0:25:00,SG11,14.969333,57.954667,9.998206,3.33E-06
RTIO_MJ_15H225,1/05/2025 0:25:00,SG12,18.814667,52.598667,12.166304,4.06E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG01,32.136,43.946667,19.825286,6.61E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG02,24.857333,58.504,15.485813,5.16E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG03,6.729333,49.44,15.185431,1.69E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG04,-6.317333,69.490667,15.524792,1.72E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG05,-0.274667,42.298667,7.870488,8.74E-07
RTIO_MJ_15H225,1/05/2025 0:30:00,SG06,1.098667,52.736,8.064052,8.96E-07
RTIO_MJ_15H225,1/05/2025 0:30:00,SG07,2.609333,30.076,3.774965,4.19E-07
RTIO_MJ_15H225,1/05/2025 0:30:00,SG08,2.609333,42.436,3.62465,4.03E-07
RTIO_MJ_15H225,1/05/2025 0:30:00,SG09,4.532,47.654667,9.575562,1.06E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG10,4.944,60.838667,15.353436,1.71E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG11,29.252,54.521333,15.379787,5.13E-06
RTIO_MJ_15H225,1/05/2025 0:30:00,SG12,24.857333,54.796,15.464368,5.15E-06
RTIO_MJ_15H225,1/05/2025 0:35:00,SG01,32.548,46.556,10.810974,3.60E-06
RTIO_MJ_15H225,1/05/2025 0:35:00,SG02,38.453333,52.873333,11.121301,3.71E-06
RTIO_MJ_15H225,1/05/2025 0:35:00,SG03,11.261333,47.517333,6.612288,7.35E-07
RTIO_MJ_15H225,1/05/2025 0:35:00,SG04,0,68.254667,9.580019,1.06E-06
RTIO_MJ_15H225,1/05/2025 0:35:00,SG05,-6.729333,38.865333,2.727318,3.03E-07
RTIO_MJ_15H225,1/05/2025 0:35:00,SG06,15.106667,47.38,5.381153,5.98E-07
RTIO_MJ_15H225,1/05/2025 0:35:00,SG07,-0.686667,25.544,1.302517,1.45E-07
RTIO_MJ_15H225,1/05/2025 0:35:00,SG08,15.518667,34.058667,2.549,2.83E-07
RTIO_MJ_15H225,1/05/2025 0:35:00,SG09,16.205333,48.478667,7.864113,8.74E-07
RTIO_MJ_15H225,1/05/2025 0:35:00,SG10,13.321333,61.937333,11.513419,1.28E-06
RTIO_MJ_15H225,1/05/2025 0:35:00,SG11,3.296,58.641333,5.485624,1.83E-06
RTIO_MJ_15H225,1/05/2025 0:35:00,SG12,10.849333,60.838667,5.384765,1.79E-06
RTIO_MJ_15H225,1/05/2025 0:40:00,SG01,17.304,24.170667,0.417938,1.39E-07
RTIO_MJ_15H225,1/05/2025 0:40:00,SG02,3.021333,35.844,0.397101,1.32E-07
RTIO_MJ_15H225,1/05/2025 0:40:00,SG03,1.098667,14.694667,0.064722,7.19E-09
RTIO_MJ_15H225,1/05/2025 0:40:00,SG04,-15.106667,30.213333,0.073376,8.15E-09
RTIO_MJ_15H225,1/05/2025 0:40:00,SG05,-8.926667,28.290667,0.063463,7.05E-09
RTIO_MJ_15H225,1/05/2025 0:40:00,SG06,-8.652,28.977333,0.037742,4.19E-09
RTIO_MJ_15H225,1/05/2025 0:40:00,SG07,-4.12,18.402667,0.041838,4.65E-09
RTIO_MJ_15H225,1/05/2025 0:40:00,SG08,-5.630667,21.561333,0.018812,2.09E-09
RTIO_MJ_15H225,1/05/2025 0:40:00,SG09,-1.648,11.536,0,0
RTIO_MJ_15H225,1/05/2025 0:40:00,SG10,-10.025333,20.462667,0.003576,3.97E-10
RTIO_MJ_15H225,1/05/2025 0:40:00,SG11,0,31.174667,0.070547,2.35E-08
RTIO_MJ_15H225,1/05/2025 0:40:00,SG12,-4.806667,31.861333,0.065777,2.19E-08
RTIO_MJ_15H225,1/05/2025 1:36:22,SG01,49.577333,44.633333,18.776979,4.55E-06
RTIO_MJ_15H225,1/05/2025 1:36:22,SG02,33.921333,38.453333,10.324023,2.50E-06
RTIO_MJ_15H225,1/05/2025 1:36:22,SG03,16.892,26.368,5.031245,4.06E-07
RTIO_MJ_15H225,1/05/2025 1:36:22,SG04,0.686667,41.474667,4.726101,3.82E-07
RTIO_MJ_15H225,1/05/2025 1:36:22,SG05,20.325333,29.801333,6.689264,5.40E-07
RTIO_MJ_15H225,1/05/2025 1:36:22,SG06,-2.884,32.685333,2.826609,2.28E-07
RTIO_MJ_15H225,1/05/2025 1:36:22,SG07,23.621333,17.578667,3.54915,2.87E-07
RTIO_MJ_15H225,1/05/2025 1:36:22,SG08,-1.098667,23.484,1.231421,9.94E-08
RTIO_MJ_15H225,1/05/2025 1:36:22,SG09,25.269333,14.557333,2.546589,2.06E-07
RTIO_MJ_15H225,1/05/2025 1:36:22,SG10,15.930667,21.973333,2.066601,1.67E-07
RTIO_MJ_15H225,1/05/2025 1:36:22,SG11,22.522667,46.968,6.408896,1.55E-06
RTIO_MJ_15H225,1/05/2025 1:36:22,SG12,17.304,46.556,5.501232,1.33E-06
RTIO_MJ_15H225,1/05/2025 2:48:48,SG01,28.016,25.269333,7.841495,6.27E-07
RTIO_MJ_15H225,1/05/2025 2:48:48,SG02,12.772,40.376,6.369756,5.10E-07
RTIO_MJ_15H225,1/05/2025 2:48:48,SG03,1.098667,16.205333,1.004633,2.68E-08
RTIO_MJ_15H225,1/05/2025 2:48:48,SG04,-17.304,35.432,1.066235,2.84E-08
RTIO_MJ_15H225,1/05/2025 2:48:48,SG05,-5.630667,21.149333,0.599844,1.60E-08
RTIO_MJ_15H225,1/05/2025 2:48:48,SG06,-13.458667,30.488,0.718006,1.91E-08
RTIO_MJ_15H225,1/05/2025 2:48:48,SG07,-1.098667,13.870667,0.320956,8.56E-09
RTIO_MJ_15H225,1/05/2025 2:48:48,SG08,-5.218667,18.128,0.300292,8.01E-09
RTIO_MJ_15H225,1/05/2025 2:48:48,SG09,-6.18,14.145333,0.004133,1.10E-10
RTIO_MJ_15H225,1/05/2025 2:48:48,SG10,-13.733333,20.462667,0,0
RTIO_MJ_15H225,1/05/2025 2:48:48,SG11,-9.338667,33.784,1.040881,8.33E-08
RTIO_MJ_15H225,1/05/2025 2:48:48,SG12,-12.634667,40.101333,1.156736,9.25E-08
RTIO_MJ_15H225,1/05/2025 2:50:00,SG01,31.037333,32.548,13.362378,4.45E-06
RTIO_MJ_15H225,1/05/2025 2:50:00,SG02,24.445333,42.985333,13.928315,4.64E-06
RTIO_MJ_15H225,1/05/2025 2:50:00,SG03,3.708,15.381333,1.06935,1.19E-07
RTIO_MJ_15H225,1/05/2025 2:50:00,SG04,-13.870667,37.354667,1.222382,1.36E-07
RTIO_MJ_15H225,1/05/2025 2:50:00,SG05,-4.394667,25.269333,1.318769,1.47E-07
RTIO_MJ_15H225,1/05/2025 2:50:00,SG06,-7.828,32.410667,1.575026,1.75E-07
RTIO_MJ_15H225,1/05/2025 2:50:00,SG07,0,17.304,0.744561,8.27E-08
RTIO_MJ_15H225,1/05/2025 2:50:00,SG08,-0.274667,20.325333,0.785597,8.73E-08
RTIO_MJ_15H225,1/05/2025 2:50:00,SG09,-6.592,17.578667,0.018812,2.09E-09
RTIO_MJ_15H225,1/05/2025 2:50:00,SG10,-13.733333,25.406667,0.022564,2.51E-09
RTIO_MJ_15H225,1/05/2025 2:50:00,SG11,-4.532,34.608,1.513834,5.05E-07
RTIO_MJ_15H225,1/05/2025 2:50:00,SG12,-7.828,42.436,1.626564,5.42E-07
RTIO_MJ_15H225,1/05/2025 2:55:00,SG01,36.256,32.548,4.583931,1.53E-06
RTIO_MJ_15H225,1/05/2025 2:55:00,SG02,30.213333,42.985333,6.631669,2.21E-06
RTIO_MJ_15H225,1/05/2025 2:55:00,SG03,7.828,23.346667,1.375301,1.53E-07
RTIO_MJ_15H225,1/05/2025 2:55:00,SG04,-4.532,43.397333,1.919334,2.13E-07
RTIO_MJ_15H225,1/05/2025 2:55:00,SG05,6.042667,25.681333,0.86689,9.63E-08
RTIO_MJ_15H225,1/05/2025 2:55:00,SG06,11.673333,32.410667,1.807228,2.01E-07
RTIO_MJ_15H225,1/05/2025 2:55:00,SG07,9.750667,17.304,0.521848,5.80E-08
RTIO_MJ_15H225,1/05/2025 2:55:00,SG08,14.694667,20.325333,0.890304,9.89E-08
RTIO_MJ_15H225,1/05/2025 2:55:00,SG09,22.66,27.741333,2.203417,2.45E-07
RTIO_MJ_15H225,1/05/2025 2:55:00,SG10,16.617333,38.590667,2.830092,3.14E-07
RTIO_MJ_15H225,1/05/2025 2:55:00,SG11,-0.686667,38.316,0.945167,3.15E-07
RTIO_MJ_15H225,1/05/2025 2:55:00,SG12,12.085333,40.925333,1.624075,5.41E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG01,30.213333,29.526667,5.658463,1.89E-06
RTIO_MJ_15H225,1/05/2025 3:00:00,SG02,38.865333,40.376,6.307501,2.10E-06
RTIO_MJ_15H225,1/05/2025 3:00:00,SG03,25.681333,27.054667,3.616805,4.02E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG04,13.870667,39.552,3.668827,4.08E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG05,29.389333,26.368,2.935293,3.26E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG06,26.368,31.174667,3.172505,3.53E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG07,28.977333,15.793333,1.500423,1.67E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG08,24.994667,20.325333,1.498356,1.66E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG09,15.518667,22.110667,0.943327,1.05E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG10,9.888,31.037333,1.142595,1.27E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG11,21.012,36.118667,1.880753,6.27E-07
RTIO_MJ_15H225,1/05/2025 3:00:00,SG12,27.054667,42.436,2.458309,8.19E-07
RTIO_MJ_15H225,1/05/2025 3:05:00,SG01,51.088,43.534667,29.749749,9.92E-06
RTIO_MJ_15H225,1/05/2025 3:05:00,SG02,45.32,45.732,25.018011,8.34E-06
RTIO_MJ_15H225,1/05/2025 3:05:00,SG03,39.552,28.565333,36.920553,4.10E-06
RTIO_MJ_15H225,1/05/2025 3:05:00,SG04,22.522667,46.418667,37.136256,4.13E-06
RTIO_MJ_15H225,1/05/2025 3:05:00,SG05,31.998667,27.466667,15.675504,1.74E-06
RTIO_MJ_15H225,1/05/2025 3:05:00,SG06,28.290667,33.097333,14.84306,1.65E-06
RTIO_MJ_15H225,1/05/2025 3:05:00,SG07,29.252,18.814667,7.815196,8.68E-07
RTIO_MJ_15H225,1/05/2025 3:05:00,SG08,26.505333,23.072,7.296055,8.11E-07
RTIO_MJ_15H225,1/05/2025 3:05:00,SG09,20.737333,112.613333,225.558886,2.51E-05
RTIO_MJ_15H225,1/05/2025 3:05:00,SG10,24.582667,131.016,246.421838,2.74E-05
RTIO_MJ_15H225,1/05/2025 3:05:00,SG11,33.372,44.358667,21.739252,7.25E-06
RTIO_MJ_15H225,1/05/2025 3:05:00,SG12,40.238667,45.457333,19.528253,6.51E-06
RTIO_MJ_15H225,1/05/2025 3:10:00,SG01,52.186667,39.689333,34.2725,1.14E-05
RTIO_MJ_15H225,1/05/2025 3:10:00,SG02,30.9,42.985333,23.660504,7.89E-06
RTIO_MJ_15H225,1/05/2025 3:10:00,SG03,38.453333,34.333333,37.428895,4.16E-06
RTIO_MJ_15H225,1/05/2025 3:10:00,SG04,15.381333,54.658667,37.946593,4.22E-06
RTIO_MJ_15H225,1/05/2025 3:10:00,SG05,23.346667,28.977333,17.598795,1.96E-06
RTIO_MJ_15H225,1/05/2025 3:10:00,SG06,10.574667,32.410667,10.959013,1.22E-06
RTIO_MJ_15H225,1/05/2025 3:10:00,SG07,23.621333,19.089333,8.363338,9.29E-07
RTIO_MJ_15H225,1/05/2025 3:10:00,SG08,10.986667,21.973333,4.904179,5.45E-07
RTIO_MJ_15H225,1/05/2025 3:10:00,SG09,17.029333,111.514667,236.028449,2.62E-05
RTIO_MJ_15H225,1/05/2025 3:10:00,SG10,17.029333,117.694667,228.037938,2.53E-05
RTIO_MJ_15H225,1/05/2025 3:10:00,SG11,37.904,50.401333,27.927172,9.31E-06
RTIO_MJ_15H225,1/05/2025 3:10:00,SG12,32.685333,51.088,25.834398,8.61E-06
RTIO_MJ_15H225,1/05/2025 3:15:00,SG01,63.173333,45.457333,39.260435,1.31E-05
RTIO_MJ_15H225,1/05/2025 3:15:00,SG02,38.178667,41.886667,25.974723,8.66E-06
RTIO_MJ_15H225,1/05/2025 3:15:00,SG03,50.538667,27.054667,35.388722,3.93E-06
RTIO_MJ_15H225,1/05/2025 3:15:00,SG04,24.445333,45.32,33.631923,3.74E-06
RTIO_MJ_15H225,1/05/2025 3:15:00,SG05,27.878667,29.801333,15.639262,1.74E-06
RTIO_MJ_15H225,1/05/2025 3:15:00,SG06,14.694667,36.942667,15.013198,1.67E-06
RTIO_MJ_15H225,1/05/2025 3:15:00,SG07,23.209333,21.836,7.867159,8.74E-07
RTIO_MJ_15H225,1/05/2025 3:15:00,SG08,14.282667,26.093333,7.344498,8.16E-07
RTIO_MJ_15H225,1/05/2025 3:15:00,SG09,20.462667,87.756,145.053492,1.61E-05
RTIO_MJ_15H225,1/05/2025 3:15:00,SG10,19.638667,98.88,212.678845,2.36E-05
RTIO_MJ_15H225,1/05/2025 3:15:00,SG11,45.869333,44.770667,22.368287,7.46E-06
RTIO_MJ_15H225,1/05/2025 3:15:00,SG12,37.217333,46.144,19.864502,6.62E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG01,41.2,35.981333,15.42444,5.14E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG02,29.114667,49.028,16.350104,5.45E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG03,39.964,42.161333,17.949938,1.99E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG04,19.226667,57.405333,19.126145,2.13E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG05,26.368,31.312,6.797172,7.55E-07
RTIO_MJ_15H225,1/05/2025 3:20:00,SG06,9.750667,37.217333,7.509852,8.34E-07
RTIO_MJ_15H225,1/05/2025 3:20:00,SG07,24.033333,23.621333,3.431179,3.81E-07
RTIO_MJ_15H225,1/05/2025 3:20:00,SG08,10.574667,26.093333,2.935709,3.26E-07
RTIO_MJ_15H225,1/05/2025 3:20:00,SG09,12.085333,80.202667,34.404628,3.82E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG10,11.398667,73.610667,28.930898,3.21E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG11,31.861333,40.238667,9.772137,3.26E-06
RTIO_MJ_15H225,1/05/2025 3:20:00,SG12,37.629333,55.894667,20.25276,6.75E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG01,35.569333,43.946667,24.224563,8.07E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG02,25.681333,51.774667,26.084367,8.69E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG03,18.814667,52.461333,26.235977,2.92E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG04,2.884,73.198667,31.065963,3.45E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG05,8.652,46.830667,12.624634,1.40E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG06,4.532,54.933333,18.101424,2.01E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG07,10.437333,33.097333,6.352051,7.06E-07
RTIO_MJ_15H225,1/05/2025 3:25:00,SG08,6.317333,39.689333,7.754841,8.62E-07
RTIO_MJ_15H225,1/05/2025 3:25:00,SG09,10.574667,62.486667,30.20889,3.36E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG10,7.278667,63.448,30.597698,3.40E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG11,18.677333,42.848,12.274198,4.09E-06
RTIO_MJ_15H225,1/05/2025 3:25:00,SG12,35.706667,48.753333,22.845508,7.62E-06
RTIO_MJ_15H225,1/05/2025 3:30:00,SG01,48.478667,41.2,22.812656,7.60E-06
RTIO_MJ_15H225,1/05/2025 3:30:00,SG02,36.668,59.74,18.414222,6.14E-06
RTIO_MJ_15H225,1/05/2025 3:30:00,SG03,13.870667,36.942667,9.681407,1.08E-06
RTIO_MJ_15H225,1/05/2025 3:30:00,SG04,-4.806667,57.68,11.25294,1.25E-06
RTIO_MJ_15H225,1/05/2025 3:30:00,SG05,21.149333,39.964,8.730121,9.70E-07
RTIO_MJ_15H225,1/05/2025 3:30:00,SG06,19.913333,59.465333,12.225063,1.36E-06
RTIO_MJ_15H225,1/05/2025 3:30:00,SG07,22.934667,27.054667,4.610967,5.12E-07
RTIO_MJ_15H225,1/05/2025 3:30:00,SG08,20.737333,43.534667,6.203928,6.89E-07
RTIO_MJ_15H225,1/05/2025 3:30:00,SG09,15.106667,25.406667,2.5233,2.80E-07
RTIO_MJ_15H225,1/05/2025 3:30:00,SG10,7.553333,38.178667,3.277028,3.64E-07
RTIO_MJ_15H225,1/05/2025 3:30:00,SG11,22.110667,46.968,8.656009,2.89E-06
RTIO_MJ_15H225,1/05/2025 3:30:00,SG12,19.913333,55.208,9.194324,3.06E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG01,44.633333,54.109333,41.25273,1.38E-05
RTIO_MJ_15H225,1/05/2025 3:35:00,SG02,34.333333,53.697333,23.560151,7.85E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG03,44.221333,46.006667,47.212547,5.25E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG04,16.892,71.688,44.109659,4.90E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG05,14.282667,49.852,21.899198,2.43E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG06,22.248,53.422667,24.904186,2.77E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG07,17.578667,36.393333,10.623216,1.18E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG08,22.66,39.689333,12.768685,1.42E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG09,17.716,54.521333,30.693617,3.41E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG10,12.909333,108.768,59.14573,6.57E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG11,42.436,55.345333,29.510981,9.84E-06
RTIO_MJ_15H225,1/05/2025 3:35:00,SG12,22.248,48.066667,17.850062,5.95E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG01,42.024,44.221333,26.03346,8.68E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG02,30.625333,45.732,17.03191,5.68E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG03,36.256,44.496,23.042666,2.56E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG04,13.184,61.525333,20.139887,2.24E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG05,14.694667,44.496,12.018394,1.34E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG06,16.205333,47.105333,11.895091,1.32E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG07,16.48,31.174667,6.126535,6.81E-07
RTIO_MJ_15H225,1/05/2025 3:40:00,SG08,15.518667,34.058667,5.458474,6.06E-07
RTIO_MJ_15H225,1/05/2025 3:40:00,SG09,12.909333,46.144,7.971542,8.86E-07
RTIO_MJ_15H225,1/05/2025 3:40:00,SG10,8.377333,53.697333,9.924497,1.10E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG11,37.904,49.989333,11.300956,3.77E-06
RTIO_MJ_15H225,1/05/2025 3:40:00,SG12,27.054667,49.989333,10.704683,3.57E-06
RTIO_MJ_15H225,1/05/2025 3:45:00,SG01,39.002667,27.604,5.749156,1.92E-06
RTIO_MJ_15H225,1/05/2025 3:45:00,SG02,16.617333,35.157333,4.333904,1.44E-06
RTIO_MJ_15H225,1/05/2025 3:45:00,SG03,18.128,16.892,1.911953,2.12E-07
RTIO_MJ_15H225,1/05/2025 3:45:00,SG04,1.785333,35.02,2.537782,2.82E-07
RTIO_MJ_15H225,1/05/2025 3:45:00,SG05,15.381333,26.368,1.451888,1.61E-07
RTIO_MJ_15H225,1/05/2025 3:45:00,SG06,6.042667,27.878667,1.452444,1.61E-07
