Device Date/Time,TOTAL FUEL USED,ENGINE HOURS,Speed,GPS Latitude,GPS Longitude,GPS Altitude,Internal Temperature,Supply Voltage,System Voltage,Supply Hours,ENGINE SPEED,COOLANT TEMP,ENGINE LOAD,THROTTLE,FUEL RATE,INTAKE TEMP,CABIN CURRENT TEMP,CABIN TARGET TEMP,AC1 VENT TEMP,AC1 DISCHARGE LINE T,AC1 EVAP TEMP,AC1 EVAP FAN SPEED,AC1 DISCHARGE PRES,AC1 SUCTION PRES,CABIN PRESSURE,SPOTTER M CO2,SPOTTER M HUMIDITY,SPOTTER A CO2,SPOTTER A HUMIDITY,SPOTTER A TEMP,AC2 VENT TEMP,AC2 DISCHARGE LINE T,AC2 EVAP TEMP,AC2 EVAP FAN SPEED,AC2 DISCHARGE PRES,AC2 SUCTION PRES,AC3 VENT TEMP,AC3 DISCHARGE LINE T,AC3 EVAP TEMP,AC3 EVAP FAN SPEED,AC3 DISCHARGE PRES,AC3 SUCTION PRES,BMS1 SOC,BMS1 SOH,BMS2 SOC,BMS2 SOH,BMS3 SOC,BMS3 SOH,BMS1 VOLTAGE,BMS1 CURRENT,BMS1 TEMPERATURE,BMS2 VOLTAGE,BMS2 CURRENT,BMS2 TEMPERATURE,BMS3 VOLTAGE,BMS3 CURRENT,BMS3 TEMPERATURE,Vibration,FUEL USED DELTA,Estimated CO2 (kg)
2025-05-01 02:45:00+00:00,,0.0,0.4090909090909091,-21.72744181818182,116.19721090909091,156.85454545454547,36.347500000000004,25.45,4.179166666666666,1294.3533333333332,1334.4375,65.625,39.25,15.7,98.875,49.5,28.5,16.0,18.25,30.0,13.25,130.0,128.0,43.75,138.125,749.5,22.5,394.375,29.625,29.0,17.5,28.875,11.5,100.0,129.25,41.75,19.25,29.5,10.625,130.0,132.0,42.375,80.125,100.0,93.25,100.0,96.25,100.0,26.875,9.9875,23.9,26.9375,15.975,23.275,27.0125,11.225,21.15,612,0.0,0.0
2025-05-01 02:50:00+00:00,11.5,0.0,1.1400000000000001,-21.727646,116.19774133333334,171.47333333333333,37.675333333333334,26.692666666666664,4.167333333333334,1294.428,1893.5933333333335,77.13333333333334,39.8,15.92,147.44666666666666,48.46666666666667,25.333333333333332,16.0,10.2,34.0,4.2,130.0,129.4,29.133333333333333,146.46666666666667,740.3333333333334,18.4,415.46666666666664,28.4,30.866666666666667,8.533333333333333,34.733333333333334,3.1333333333333333,100.0,133.33333333333334,28.8,11.4,35.86666666666667,4.266666666666667,130.0,132.93333333333334,30.666666666666668,81.0,100.0,94.0,100.0,97.0,100.0,28.073333333333334,3.5600000000000005,23.9,28.0,3.546666666666667,23.9,28.0,2.1266666666666665,20.9,1528,11.5,30.82
2025-05-01 02:55:00+00:00,15.5,0.0,1.1066666666666667,-21.728141333333333,116.19752533333333,175.68666666666667,35.93933333333334,26.672000000000004,4.165333333333334,1294.5106666666666,1884.2733333333333,80.53333333333333,54.6,21.84,190.28,50.333333333333336,23.2,16.0,8.333333333333334,35.2,3.4,130.0,135.8,27.666666666666668,150.26666666666668,1069.2666666666667,18.333333333333332,458.8,27.133333333333333,32.06666666666667,6.866666666666666,36.266666666666666,2.6,100.0,139.6,27.6,10.066666666666666,36.266666666666666,4.4,130.0,135.53333333333333,31.0,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,23.9,28.0,0.0,23.9,28.0,0.0,20.9,2092,15.5,41.54
2025-05-01 03:00:00+00:00,14.5,0.0,1.5666666666666667,-21.72856266666667,116.19632533333333,176.76000000000002,33.184,26.640666666666668,4.1626666666666665,1294.5946666666666,1881.48,80.06666666666666,56.06666666666667,22.426666666666666,195.56666666666666,49.666666666666664,22.133333333333333,16.0,7.666666666666667,36.733333333333334,3.066666666666667,130.0,142.6,27.133333333333333,152.13333333333333,1132.0,21.066666666666666,477.3333333333333,26.066666666666666,33.0,6.0,38.266666666666666,2.533333333333333,100.0,146.86666666666667,27.2,9.8,37.733333333333334,4.466666666666667,130.0,141.6,31.133333333333333,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,23.9,28.0,0.0,23.9,28.0,0.0,20.9,1760,14.5,38.86
2025-05-01 03:05:00+00:00,15.5,0.0,0.0,-21.728676,116.19586333333334,174.35333333333335,30.699333333333335,26.698666666666668,4.166666666666667,1294.678,1869.1866666666667,80.8,66.2,26.48,231.40666666666667,49.6,21.266666666666666,16.0,7.0,36.6,2.533333333333333,130.0,134.2,27.066666666666666,149.66666666666666,953.6,23.2,487.3333333333333,25.466666666666665,33.0,5.933333333333334,37.666666666666664,2.066666666666667,100.0,137.13333333333333,26.933333333333334,9.0,37.6,4.066666666666666,130.0,133.46666666666667,31.533333333333335,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,23.9,28.0,0.0,23.9,28.0,0.0,20.9,2624,15.5,41.54
2025-05-01 03:10:00+00:00,17.0,0.0,0.0,-21.72861933333333,116.19580133333334,175.32666666666668,28.721999999999998,26.896666666666665,4.168,1294.7606666666666,1874.0733333333333,82.53333333333333,59.0,23.6,206.06666666666666,50.333333333333336,21.0,16.0,6.266666666666667,35.266666666666666,2.0,130.0,129.13333333333333,26.333333333333332,145.6,858.0,25.266666666666666,488.73333333333335,25.0,33.0,5.333333333333333,36.2,1.6,100.0,133.06666666666666,26.2,9.0,36.13333333333333,4.0,130.0,130.13333333333333,31.333333333333332,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,23.9,28.0,0.0,23.9,28.0,0.0,20.9,5468,17.0,45.56
2025-05-01 03:15:00+00:00,17.5,0.0,0.5333333333333333,-21.72857,116.19573,178.00666666666666,27.216,26.946,4.168666666666667,1294.8446666666666,1863.3333333333333,81.93333333333334,72.2,28.88,247.72666666666666,50.8,20.0,16.0,6.0,35.0,2.0,130.0,129.26666666666668,26.0,141.6,764.8,26.0,480.46666666666664,24.8,33.0,5.0,35.6,1.0,100.0,132.6,26.0,8.466666666666667,36.0,4.0,130.0,129.4,30.733333333333334,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,23.9,28.0,0.0,23.9,28.0,0.0,20.9,2776,17.5,46.9
2025-05-01 03:20:00+00:00,15.5,0.0,0.0,-21.728531999999998,116.19568,177.66,26.017999999999997,26.900666666666666,4.162,1294.928,1871.7266666666667,81.73333333333333,61.2,24.48,210.50666666666666,50.0,20.0,16.0,5.866666666666666,35.0,1.8666666666666667,130.0,129.13333333333333,25.866666666666667,141.4,507.6666666666667,27.733333333333334,476.3333333333333,24.0,33.0,5.0,35.93333333333333,1.2,100.0,132.53333333333333,26.133333333333333,8.6,36.0,4.866666666666666,130.0,129.13333333333333,31.666666666666668,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,23.9,28.0,0.0,23.9,28.0,0.0,20.9,2060,15.5,41.54
2025-05-01 03:25:00+00:00,21.0,0.0,0.1,-21.728552,116.19566933333334,178.2866666666667,25.099333333333334,26.898000000000003,4.1626666666666665,1295.0106666666666,1854.2466666666667,80.2,76.53333333333333,30.613333333333333,253.86666666666667,50.666666666666664,19.933333333333334,16.0,5.8,35.666666666666664,1.7333333333333334,130.0,136.8,25.866666666666667,145.06666666666666,1020.6,28.2,474.1333333333333,24.0,33.0,4.933333333333334,36.4,1.5333333333333334,100.0,139.33333333333334,26.133333333333333,8.533333333333333,36.666666666666664,4.8,130.0,134.86666666666667,31.8,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,23.7,28.0,0.0,23.9,28.0,0.0,20.9,2428,21.0,56.28
2025-05-01 03:30:00+00:00,21.0,0.0,0.5466666666666667,-21.728569333333333,116.195594,178.45333333333335,24.442,26.964,4.167333333333334,1295.0946666666666,1850.26,80.33333333333333,80.26666666666667,32.10666666666667,263.37333333333333,51.4,19.133333333333333,16.0,5.466666666666667,35.4,1.2666666666666666,130.0,134.4,24.866666666666667,146.66666666666666,1114.6,28.0,476.1333333333333,24.0,33.0,5.0,36.06666666666667,1.4,100.0,137.13333333333333,26.066666666666666,8.4,36.0,4.733333333333333,130.0,132.26666666666668,31.066666666666666,81.0,100.0,94.0,100.0,97.0,100.0,28.1,0.0,22.9,28.0,0.0,23.9,28.0,0.0,20.9,2144,21.0,56.28
