machine_code,cycle_start_time,cycle_end_time,cycle_time,avg_payload
RTIO_MJ_15H225,1/05/2025 5:01:11,1/05/2025 5:01:22,11,15.402411
RTIO_MJ_15H225,1/05/2025 5:06:21,1/05/2025 5:08:05,104,15.898826
RTIO_MJ_15H225,1/05/2025 5:11:03,1/05/2025 5:11:32,29,23.594462
RTIO_MJ_15H225,1/05/2025 5:11:56,1/05/2025 5:12:09,13,42.58315
RTIO_MJ_15H225,1/05/2025 5:12:28,1/05/2025 5:12:42,14,42.598399
RTIO_MJ_15H225,1/05/2025 5:13:02,1/05/2025 5:13:18,16,42.296592
RTIO_MJ_15H225,1/05/2025 5:13:43,1/05/2025 5:13:58,15,43.4204
RTIO_MJ_15H225,1/05/2025 5:14:18,1/05/2025 5:14:34,16,42.735664
RTIO_MJ_15H225,1/05/2025 5:14:53,1/05/2025 5:15:06,13,23.249249
RTIO_MJ_15H225,1/05/2025 5:15:29,1/05/2025 5:15:51,22,49.186817
RTIO_MJ_15H225,1/05/2025 5:16:13,1/05/2025 5:16:29,16,40.202266
RTIO_MJ_15H225,1/05/2025 5:16:52,1/05/2025 5:17:10,18,42.934977
RTIO_MJ_15H225,1/05/2025 5:17:32,1/05/2025 5:17:49,17,46.396836
RTIO_MJ_15H225,1/05/2025 5:18:12,1/05/2025 5:18:32,20,50.917996
RTIO_MJ_15H225,1/05/2025 5:18:53,1/05/2025 5:19:13,20,36.898904
RTIO_MJ_15H225,1/05/2025 5:19:45,1/05/2025 5:19:57,12,31.4387
RTIO_MJ_15H225,1/05/2025 5:20:22,1/05/2025 5:20:39,17,42.26354
RTIO_MJ_15H225,1/05/2025 5:21:01,1/05/2025 5:21:17,16,41.235108
RTIO_MJ_15H225,1/05/2025 5:21:35,1/05/2025 5:21:50,15,36.182449
RTIO_MJ_15H225,1/05/2025 5:22:06,1/05/2025 5:22:19,13,32.121739
RTIO_MJ_15H225,1/05/2025 5:22:36,1/05/2025 5:22:50,14,40.196439
RTIO_MJ_15H225,1/05/2025 5:23:06,1/05/2025 5:23:26,20,38.967118
RTIO_MJ_15H225,1/05/2025 5:23:47,1/05/2025 5:24:14,27,21.906481
RTIO_MJ_15H225,1/05/2025 5:24:35,1/05/2025 5:24:50,15,42.261769
RTIO_MJ_15H225,1/05/2025 5:25:12,1/05/2025 5:25:29,17,42.005804
RTIO_MJ_15H225,1/05/2025 5:25:52,1/05/2025 5:26:12,20,42.76524
RTIO_MJ_15H225,1/05/2025 5:26:31,1/05/2025 5:26:45,14,34.825523
RTIO_MJ_15H225,1/05/2025 5:27:04,1/05/2025 5:27:20,16,35.479851
RTIO_MJ_15H225,1/05/2025 5:27:38,1/05/2025 5:27:51,13,31.723059
RTIO_MJ_15H225,1/05/2025 5:35:08,1/05/2025 5:35:16,8,33.231186
RTIO_MJ_15H225,1/05/2025 5:35:43,1/05/2025 5:36:07,24,25.838846
